,0
0,2018-09-25 18:00:00
1,2018-08-02 00:00:00
2,2017-02-12 12:00:00
3,2017-11-09 06:00:00
4,2017-01-09 12:00:00
5,2017-02-13 12:00:00
6,2018-01-22 18:00:00
7,2017-11-09 18:00:00
8,2017-09-30 18:00:00
9,2017-05-23 00:00:00
10,2017-01-17 06:00:00
11,2017-12-08 00:00:00
12,2017-10-01 18:00:00
13,2018-11-05 00:00:00
14,2017-02-28 06:00:00
15,2017-11-27 00:00:00
16,2018-12-10 06:00:00
17,2017-12-29 00:00:00
18,2017-02-10 18:00:00
19,2018-05-05 06:00:00
20,2018-02-21 12:00:00
21,2018-10-03 00:00:00
22,2018-12-09 18:00:00
23,2018-04-16 06:00:00
24,2017-01-07 18:00:00
25,2017-01-12 18:00:00
26,2018-01-24 00:00:00
27,2018-10-29 06:00:00
28,2018-01-24 06:00:00
29,2017-12-22 12:00:00
30,2018-12-31 12:00:00
31,2018-01-16 06:00:00
32,2017-07-13 12:00:00
33,2018-02-26 06:00:00
34,2017-09-14 06:00:00
35,2017-12-20 18:00:00
36,2018-02-19 06:00:00
37,2018-11-26 06:00:00
38,2017-11-21 06:00:00
39,2017-12-06 06:00:00
40,2017-11-14 12:00:00
41,2017-01-18 12:00:00
42,2018-11-22 00:00:00
43,2017-03-11 18:00:00
44,2018-01-11 18:00:00
45,2017-11-12 18:00:00
46,2017-01-21 18:00:00
47,2018-02-22 06:00:00
48,2018-10-28 06:00:00
49,2017-11-28 00:00:00
50,2018-05-11 00:00:00
51,2018-05-06 00:00:00
52,2018-05-10 00:00:00
53,2018-02-11 18:00:00
54,2017-10-24 18:00:00
55,2018-12-01 06:00:00
56,2018-11-19 00:00:00
57,2017-01-14 18:00:00
58,2018-01-31 12:00:00
59,2017-03-12 06:00:00
60,2017-11-05 06:00:00
61,2017-12-27 12:00:00
62,2017-04-13 00:00:00
63,2018-01-23 00:00:00
64,2018-10-02 12:00:00
65,2017-03-10 18:00:00
66,2017-12-17 00:00:00
67,2017-02-12 00:00:00
68,2017-12-21 18:00:00
69,2017-02-09 06:00:00
70,2017-04-14 06:00:00
71,2018-02-18 18:00:00
72,2017-12-07 06:00:00
73,2017-12-05 12:00:00
74,2018-11-26 00:00:00
75,2017-01-13 00:00:00
76,2017-03-11 00:00:00
77,2018-12-21 06:00:00
78,2017-11-22 18:00:00
79,2018-03-30 00:00:00
80,2018-11-16 00:00:00
81,2017-11-14 18:00:00
82,2017-01-13 18:00:00
83,2018-02-20 12:00:00
84,2017-11-25 18:00:00
85,2018-05-28 12:00:00
86,2018-12-18 12:00:00
87,2018-11-08 18:00:00
88,2017-05-02 12:00:00
89,2017-11-25 12:00:00
90,2017-10-31 12:00:00
91,2018-11-27 06:00:00
92,2018-11-19 12:00:00
93,2017-10-07 06:00:00
94,2018-11-08 12:00:00
95,2018-07-01 12:00:00
96,2017-01-19 12:00:00
97,2018-01-03 06:00:00
98,2018-12-12 18:00:00
99,2018-05-20 00:00:00
100,2017-11-23 00:00:00
101,2017-02-22 06:00:00
102,2017-01-23 18:00:00
103,2018-02-08 12:00:00
104,2018-11-28 12:00:00
105,2017-12-13 12:00:00
106,2017-01-13 12:00:00
107,2017-12-18 12:00:00
108,2018-01-28 18:00:00
109,2017-10-23 12:00:00
110,2018-09-26 18:00:00
111,2017-10-29 12:00:00
112,2017-12-14 12:00:00
113,2018-12-21 00:00:00
114,2017-04-13 18:00:00
115,2018-09-27 06:00:00
116,2018-02-22 00:00:00
117,2018-01-26 06:00:00
118,2018-01-15 00:00:00
