,rmse,acc,rmse_pers,acc_pers,fcday,var,member
0,0.0,0.9999999999946675,0.0,0.9999999999946675,0,geopotential1000,3
0,0.0,0.9999999998848025,0.0,0.9999999998848025,0,geopotential700,3
0,0.0,0.9999999998690033,0.0,0.9999999998690033,0,geopotential500,3
0,0.0,0.9999999998017733,0.0,0.9999999998017733,0,geopotential300,3
0,0.0,0.9999999997810833,0.0,0.9999999997810833,0,temperature850,3
0,155.17096843089453,0.9665619443065641,468.3913385778993,0.6973949344930366,1,geopotential1000,3
0,148.98856456254202,0.9783181859537007,453.8082518798121,0.7998224310943289,1,geopotential700,3
0,193.8043878277419,0.9835243311612528,602.7851702712735,0.8404246468928629,1,geopotential500,3
0,287.09380451825353,0.9849779594105441,849.2223263104785,0.8624584599485453,1,geopotential300,3
0,1.5604169261486411,0.9590468676756584,3.1058484326004625,0.8400772541857688,1,temperature850,3
0,279.385999864247,0.88621467878645,623.631358043833,0.46351978325126,2,geopotential1000,3
0,276.5546199800953,0.9228846567494858,634.6226067939332,0.6084653938754042,2,geopotential700,3
0,359.31728060259195,0.9423785550121889,833.6311446286043,0.6947281228429634,2,geopotential500,3
0,523.2095604355787,0.9499400657582519,1159.4725831561889,0.7435475493463516,2,geopotential300,3
0,2.1627956147616447,0.9191650931284323,3.9782721450170033,0.7374759691552066,2,temperature850,3
0,397.48733598249873,0.7601714614038817,684.4661251647647,0.35369679744075905,3,geopotential1000,3
0,399.07463239643624,0.834652490626689,715.7137294191646,0.5019700458800577,3,geopotential700,3
0,521.9614318655484,0.8763353714938026,936.0413714300818,0.6150360937386787,3,geopotential500,3
0,752.8532987187831,0.8955753774744275,1289.645391617484,0.6826514535682628,3,geopotential300,3
0,2.746865835482867,0.8655189188136801,4.297288830598009,0.6934968311960362,3,temperature850,3
0,496.8028062544162,0.6163195403663317,717.9050936902871,0.28893980431928235,4,geopotential1000,3
0,505.7202255208178,0.729191544281105,761.5800635814908,0.4360301067886154,4,geopotential700,3
0,668.954254056224,0.7941765936341721,994.2727450604497,0.5655280095808466,4,geopotential500,3
0,964.6256932627828,0.8274782583368068,1362.5646679481931,0.6456264507733197,4,geopotential300,3
0,3.2988114107053836,0.8009454347274081,4.4570909640295255,0.6700535416799237,4,temperature850,3
0,573.0079249936496,0.48289645026671096,738.6927815614964,0.2471631301302325,5,geopotential1000,3
0,591.0697254540266,0.6255564999601756,791.5915543921383,0.39070087165373313,5,geopotential700,3
0,790.6691869922851,0.7098316462975958,1033.381753978452,0.5305705652704368,5,geopotential500,3
0,1144.319696340324,0.7566461030288157,1410.955780771687,0.6198811227908545,5,geopotential300,3
0,3.7756632788068605,0.7341277768509208,4.560630868746124,0.654296388695995,5,temperature850,3
0,629.74259134428,0.3707928793076006,751.6530560832373,0.2205311278657784,6,geopotential1000,3
0,657.3721384512642,0.5333264504284707,811.2270347480458,0.36014689951477385,6,geopotential700,3
0,887.2518893806787,0.6324807975288282,1058.683057136922,0.5072294974535206,6,geopotential500,3
0,1290.6225199702064,0.6909474729022793,1442.0007529942504,0.6028641671906246,6,geopotential300,3
0,4.162019728324983,0.6723947149031144,4.622090972880082,0.6446640537546676,6,temperature850,3
0,672.4371905074563,0.28137662823258347,760.3972009165327,0.20232085298119779,7,geopotential1000,3
0,708.310303479858,0.45703291941267554,824.3142373186396,0.33937911983556057,7,geopotential700,3
0,962.9226366878952,0.5662926057104017,1077.0349675826021,0.48991760291171743,7,geopotential500,3
0,1408.7727082258023,0.6336804243481047,1467.2530765175695,0.5887223458861593,7,geopotential300,3
0,4.473463224488612,0.6179242448641454,4.680880441629968,0.6353236012383209,7,temperature850,3
0,704.0929911559828,0.21478274356927374,769.2390567819766,0.18373788003194985,8,geopotential1000,3
0,746.1853266012365,0.39877733578122826,836.3150711029142,0.31997276796129714,8,geopotential700,3
0,1020.6176714232616,0.5134088187537422,1094.5319428609293,0.4730809611242326,8,geopotential500,3
0,1502.8339193824415,0.5865504160950887,1492.4885286981223,0.5743191771325938,8,geopotential300,3
0,4.7265125742886775,0.5708688573706819,4.744685451411059,0.6250674487367421,8,temperature850,3
0,727.6755934445376,0.1659285239287855,774.2669794835751,0.17311487137157458,9,geopotential1000,3
0,775.3559115558071,0.35390883514356175,844.3344633196448,0.3067836589326746,9,geopotential700,3
0,1066.5048823627499,0.4705041865461763,1105.7016110571744,0.46211922483493495,9,geopotential500,3
0,1580.6720757995772,0.5471772942081093,1507.7641275112783,0.5654184754506856,9,geopotential300,3
0,4.930776495201592,0.5314585959267616,4.78008951241194,0.6192122535238888,9,temperature850,3
0,746.938679356633,0.12694618168430294,777.7811823911841,0.1656088454196839,10,geopotential1000,3
0,799.336153473746,0.3174603696691104,850.053872603985,0.29724580100540027,10,geopotential700,3
0,1105.3918820092204,0.4340476095172269,1113.9935202237452,0.45386580704067225,10,geopotential500,3
0,1648.4034216965583,0.5131295702203934,1519.2640343083003,0.5586278335071364,10,geopotential300,3
0,5.104734441524912,0.4973562426286822,4.808630190217355,0.6144439509940789,10,temperature850,3
